Video id,Smile,Headpose - Pitch,Headpose - Roll,Headpose - Yaw,Gender,Age,Facialhair - Moustache,Facialhair - Beard,Facialhair - Sideburns,Glasses,Emotion - Anger,Emotion - Contempt,Emotion - Disgust,Emotion - Fear,Emotion - Happiness,Emotion - Neutral,Emotion - Sadness,Emotion - Surprise,Blur - Blurlevel,Blur - Value,Exposure - Exposurelevel,Exposure - Value,Occlusion - Foreheadoccluded,Occlusion - Eyeoccluded,Occlusion - Mouthoccluded,Noise - Noiselevel,Noise - Value,Makeup - Eyemakeup,Makeup - Lipmakeup,Accessories - Type,Accessories - Confidence,Hair - Bald,Hair - Invisible
Is9ioUILsrU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBhwOTtARQ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1T2rAw6DsyM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Z_0Hica6-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIMNpu7mGY8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7CY4l99S7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k40Ht-MffP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmccWna9A0Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4w_n98E-j0I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UoPYPDnkltQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErrR7v0OgJA,0.501,11.366666666666667,0.7666666666666665,2.6,female,30.0,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.501,0.4983333333333334,0.0,0.0,low,0.0,goodExposure,0.6233333333333334,False,False,False,low,0.04,True,False,,,0.08333333333333333,False
KvBMuB4FeWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buSnKoducJc,0.0,-20.950000000000006,0.75,7.2,male,41.0,0.1,0.1,0.1,NoGlasses,0.29000000000000004,0.0025,0.0,0.0,0.0,0.7020000000000001,0.006,0.0,low,0.185,goodExposure,0.605,False,False,False,medium,0.39,True,False,,,0.405,False
NUA-fI3E6Vk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPh1KMjrb_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qcz1Cm_-l50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6sbVhu843SA,1.0,-11.3,9.6,-1.4,male,35.0,0.1,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,low,0.22,overExposure,0.79,False,False,False,low,0.0,False,False,,,0.05,False
X1Kr2cHWuP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dBGeri4eFv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h3ZrKQMBEB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vPA0k8r3Tuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muZmOiiukQE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ya8YNMJ27g,1.0,-5.3,6.1,-8.5,male,35.0,0.1,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,low,0.11,overExposure,0.79,False,False,False,low,0.09,False,False,,,0.06,False
7up731HX2uA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F7LAJEVp-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm2b1U8mvhI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PqJuIal2-rY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ep8y4v7-Dmw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOqxDyiMAdE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whreCx_YLko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bChoL5qB6cM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iQTrf_eCfI8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dvG5PXUGFk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1kXk2yrBZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VufrCCcsse4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTIotEFCYno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LXZqE_soFzY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IYNyBvB8BjA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nWbQIORfcyg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ0OHoaS8eo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LXZqE_soFzY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jBIf10lgWyU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wn8Bf_r0vzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1yNpgVkMRM,0.00016666666666666666,-13.299999999999995,-2.7000000000000006,-2.95,male,40.0,0.1,0.1,0.1,NoGlasses,0.138,0.00016666666666666666,0.002166666666666667,0.0,0.00016666666666666666,0.6238333333333334,0.0008333333333333334,0.23450000000000004,low,0.325,goodExposure,0.6283333333333333,False,False,False,low,0.12833333333333333,False,False,,,0.04666666666666667,False
TSnZ0dlh3NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k2rrJDcOGsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RZwBqvMVMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6uts4lH_tP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GtiYyWQI8ZA,0.003428571428571429,-1.9714285714285715,0.2,-0.4857142857142857,male,52.0,0.1857142857142857,0.1,0.1,ReadingGlasses,0.001142857142857143,0.011000000000000001,0.0008571428571428572,0.0,0.003428571428571429,0.9685714285714286,0.0015714285714285713,0.013571428571428571,medium,0.30142857142857143,goodExposure,0.75,False,False,False,low,0.042857142857142864,False,True,,,0.5971428571428571,False
ev8g5jdDxEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xRLaBFyc-UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Xf5_-WM6h0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVVL3jc2nRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKjFYgSREG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3USkdBSwdKs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71l1dxnNN28,0.03906666666666666,3.68,-7.8066666666666675,-5.2733333333333325,male,44.0,0.5866666666666664,0.5333333333333333,0.10000000000000002,NoGlasses,0.0002666666666666667,0.009066666666666669,6.666666666666667e-05,0.0,0.03906666666666666,0.9404,0.0072,0.003599999999999999,medium,0.448,goodExposure,0.6113333333333333,False,False,False,low,0.30866666666666664,False,False,,,0.12466666666666668,False
Gz4K_CjxcCU,0.0013750000000000006,7.4875,-1.825,2.3624999999999994,male,45.0,0.6,0.4375,0.1,NoGlasses,0.000125,0.018625000000000003,0.0,0.0,0.0013750000000000006,0.9496249999999998,0.004750000000000001,0.025125,medium,0.5599999999999999,goodExposure,0.6387499999999999,False,False,False,low,0.28125,False,False,,,0.08750000000000001,False
Fre5g65sj0w,0.36175,6.5749999999999975,-0.05000000000000026,-4.324999999999998,male,22.0,0.025,0.025,0.025,NoGlasses,0.00025,0.013000000000000001,0.0,0.00125,0.36175,0.38275,0.2265,0.01475,low,0.1075,goodExposure,0.61,False,False,False,low,0.0875,False,False,,,0.065,False
xWiQT2LaD78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h7JatMD-B_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoI3U21K8_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7E64xzjsgpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YQ8H5GLPZsA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48o-VQ48og,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4OmT_Nj1eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xYP3p5ScKNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EyAvSj1ZgXk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JzcylDGwRjk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lTAQ2HRErYw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PouihkhCpIc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRrsTH3qC5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRlAWXJzNr8,0.099,6.29090909090909,-2.118181818181818,-0.13636363636363635,female,33.0,0.0,0.0,0.0,ReadingGlasses,0.0,0.003636363636363637,9.090909090909092e-05,0.00018181818181818183,0.099,0.7825454545454545,0.004727272727272728,0.10954545454545456,medium,0.2954545454545455,goodExposure,0.32545454545454544,False,False,False,low,0.03181818181818182,True,True,,,0.07363636363636368,False
3oIBsiZxNRw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QxXR0fxvTgM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yVZaPTMZUlM,0.0003333333333333333,-6.1000000000000005,4.1000000000000005,16.2,male,38.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,ReadingGlasses,0.005333333333333333,0.0026666666666666666,0.0036666666666666666,0.057999999999999996,0.0003333333333333333,0.6736666666666666,0.015333333333333338,0.2406666666666667,low,0.03666666666666667,goodExposure,0.6433333333333334,False,False,False,low,0.0,False,False,,,0.16,False
51rqdW3u02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-aPVBmi0P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bVSIaWBYtuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuFyo9Zd9e0,0.00075,22.70000000000001,-1.4,0.4750000000000001,male,16.0,0.025,0.025,0.025,NoGlasses,0.0,0.00025,0.0,0.0,0.00075,0.976,0.00075,0.02225,medium,0.19,goodExposure,0.58,False,False,False,low,0.0025,False,True,,,0.21,False
PFn5uO78D8U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yDJ5Fn06OqA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUOXh6eFCrU,0.029833333333333337,2.9666666666666672,7.833333333333332,18.58333333333333,female,34.0,0.0,0.0,0.0,NoGlasses,0.0,0.00016666666666666666,0.0,0.0,0.029833333333333337,0.9691666666666668,0.0006666666666666666,0.0,medium,0.2933333333333333,goodExposure,0.6416666666666667,False,False,False,low,0.05666666666666668,True,True,,,0.37166666666666665,False
xiHcVRFBnA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcMrjedUJIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GvCv2Pz0o3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IiTHAXv4_ts,0.0006666666666666665,7.1,-2.9066666666666667,-2.4733333333333336,male,45.0,0.5999999999999999,0.5066666666666667,0.10000000000000002,NoGlasses,0.0,0.003666666666666667,0.0,0.0,0.0006666666666666665,0.9884,0.0044666666666666665,0.0025333333333333336,medium,0.5653333333333334,goodExposure,0.6426666666666666,False,False,False,medium,0.29,False,False,,,0.060666666666666674,False
zeqrf8ZVQSs,0.002,6.8133333333333335,4.62,1.266666666666667,male,45.0,0.5999999999999999,0.5199999999999999,0.10000000000000002,NoGlasses,0.0058000000000000005,0.0082,0.0002,0.0003333333333333333,0.002,0.9542666666666668,0.010666666666666666,0.018266666666666667,medium,0.458,goodExposure,0.6153333333333334,False,False,False,low,0.174,False,False,,,0.10866666666666668,False
za5uuoQJmmw,0.16357142857142856,-9.828571428571431,4.442857142857143,4.5285714285714285,male,42.0,0.1,0.1,0.1,ReadingGlasses,0.00028571428571428574,0.0017142857142857144,0.0005714285714285715,0.00014285714285714287,0.16357142857142856,0.7712857142857142,0.015142857142857144,0.04757142857142858,low,0.028571428571428574,goodExposure,0.6442857142857142,False,False,False,low,0.0,False,True,,,0.16142857142857145,False
b7l5KEKtcIg,0.08575,-6.7,0.85,8.425,male,37.0,0.1,0.1,0.1,ReadingGlasses,0.00075,0.001,0.00025,0.0,0.08575,0.90775,0.00375,0.0005,low,0.017499999999999998,goodExposure,0.6074999999999999,False,False,False,low,0.0,False,True,,,0.17750000000000002,False
ku1rHYu6K9Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aigXaO8ewdg,0.0,5.4,-5.3,7.1,male,37.0,0.1,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,low,0.0,overExposure,0.82,False,False,False,low,0.0,False,False,,,0.03,False
i1quLORCZ2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_zqUaywNAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaSgcIsnXlU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wOpw9aFCfPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JB5zC2nu4Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7222_XNBmeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gep1hN-yeFQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re9DQipGsbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OYajy-IfgAo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NopDEaz6bL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hCGgT7Gmzg0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjpWYcNDgWc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zsdv_X18wD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDS5lfRFARg,0.0023333333333333327,-10.266666666666667,8.533333333333333,-1.5,male,30.0,0.10000000000000002,0.10000000000000002,0.10000000000000002,NoGlasses,0.006666666666666667,0.0006666666666666666,0.0013333333333333333,0.0,0.0023333333333333327,0.988,0.0003333333333333333,0.0,low,0.21,overExposure,0.8799999999999999,False,False,False,low,0.17,False,False,,,0.12333333333333335,False
fDj2x3Cb8ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrUwPbeETXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NzcTKGxwCCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xWUC47m9uKY,0.47375,-5.775,0.575,12.275000000000002,female,48.0,0.0,0.0,0.0,ReadingGlasses,0.0,0.0,0.0,0.0,0.47375,0.5155000000000001,0.00125,0.009000000000000001,low,0.16249999999999998,goodExposure,0.7000000000000001,False,False,False,low,0.095,False,False,,,0.19,False
eBsa_1cpN9s,0.0005,-1.9,13.85,24.85,male,29.0,0.25,0.25,0.1,NoGlasses,0.0,0.0,0.0,0.0015,0.0005,0.8435,0.003,0.1515,low,0.04,goodExposure,0.675,False,False,False,low,0.0,True,False,,,0.275,False
B64TkkVRAwI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hlD_j3AtxGs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZALxVE9hJ1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lYeqxD1f5co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0roInrdEMQ,0.501,9.65,6.75,14.15,female,25.0,0.0,0.0,0.0,ReadingGlasses,0.006500000000000001,0.0005,0.005,0.0025,0.501,0.015,0.0005,0.4695,low,0.0,goodExposure,0.675,False,False,False,low,0.0,False,False,,,0.085,False
O-cawByg2aA,0.002,14.9,6.0,3.6,male,43.0,0.1,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.01,0.002,0.17,0.003,0.8140000000000001,medium,0.41,overExposure,0.75,False,False,False,low,0.17,False,False,,,0.02,False
557vBwreipo,0.0,8.0,-1.8,-0.8,male,41.0,0.1,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.703,0.29600000000000004,0.0,low,0.21,goodExposure,0.69,False,False,False,low,0.0,False,False,,,0.85,False
uAmVmeDooQ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--2v7MZOJGg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkTyNRAp2qg,0.008,2.5,-1.8,10.5,male,54.0,0.4,0.4,0.1,NoGlasses,0.0,0.012,0.0,0.0,0.008,0.977,0.003,0.0,high,1.0,goodExposure,0.71,False,False,False,low,0.0,False,False,,,0.24,False
IvU3rkSBxBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XddwCSMo-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-Sg1HWcES0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9JE8GeZA78s,0.0005,2.2833333333333337,-7.6,16.166666666666668,male,56.0,0.15,0.15,0.1,NoGlasses,0.00016666666666666666,0.00016666666666666666,0.0,0.0,0.0005,0.9665,0.016666666666666666,0.01533333333333333,high,0.8266666666666668,overExposure,0.7066666666666667,False,False,False,high,0.12333333333333335,False,False,,,0.245,False
efsoTjgOIf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gjJAXY_g-dA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zce6RScG2_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sx15ZqQPnHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOf2Kf0kNU8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O7YPymhfQec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNEDBQYN0wE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acfjqWTwee0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPM84_yfx5Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jTb8NIxRRBc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etp6km1JQi8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8St8moqFq4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KOT3mAtiNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zHYDdT1pPIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PqGc817jz3o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nK9Uf-7ijlk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1tz2bTKTWPg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7KnncF6Eomg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hhjOTt9EYyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6x5FYrntm4Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GbQcH5Zx9lE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Kwyeaq38mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dU-s0GWz2OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhwzHfHcDOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68BytWd8uD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w-I_lAfmRxM,0.049,0.9,9.4,6.7,female,42.0,0.0,0.0,0.0,ReadingGlasses,0.0,0.0,0.0,0.0,0.049,0.95,0.0,0.001,low,0.07,goodExposure,0.73,False,False,False,low,0.0,False,False,,,0.06,False
t1KXDricV54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMiAbQ5yUDA,0.841,-6.8,-3.8,6.4,female,33.0,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.841,0.156,0.0,0.001,low,0.22,overExposure,0.89,False,False,False,low,0.0,True,True,,,0.23,False
8254mpJprjk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2rEhJdN-mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xPjQixqiRwQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rQ6EwArDtHc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hUj3o0bsXWo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xihRwuWXmDc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YN5fu74-pcM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8nC0VnSRYgQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OauYLIJB8Mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByHwtLjujlE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snWh8VxaKek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8waX7HzUxQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibZmnFcLlaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWSrU0tv-5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6K-7v6DE9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JmJAa90B_Qo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LcSnf-GBeKo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK7GmnT_VQw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u6NBz5NK7Bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V61XrzryoIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngElbkETkXo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qchto7n_A3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DsGHIDHxgF8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma9HLOl1vuM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jtfbQ02Qryw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fBXIcO0It4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHaZYHfxyLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCy9TjzIees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-HyxOjUZ04Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9M2-OkV9vVc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jO-15XPPVpE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1CFYomoxc-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u_MU518qhwM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
