,Video id,Profile faces,Front faces
0,Is9ioUILsrU,0,0
1,BBhwOTtARQ8,0,0
2,1T2rAw6DsyM,0,0
3,7Z_0Hica6-w,0,1
4,pIMNpu7mGY8,0,0
5,C7CY4l99S7M,0,0
6,k40Ht-MffP8,0,0
7,nmccWna9A0Y,0,0
8,4w_n98E-j0I,0,0
9,UoPYPDnkltQ,0,2
10,ErrR7v0OgJA,1,2
11,KvBMuB4FeWE,0,0
12,buSnKoducJc,0,1
13,NUA-fI3E6Vk,0,0
14,SPh1KMjrb_A,0,0
15,qcz1Cm_-l50,0,0
16,6sbVhu843SA,0,1
17,X1Kr2cHWuP4,1,1
18,dBGeri4eFv4,0,0
19,h3ZrKQMBEB4,0,0
20,vPA0k8r3Tuc,0,0
21,muZmOiiukQE,0,0
22,9ya8YNMJ27g,1,2
23,7up731HX2uA,0,0
24,1F7LAJEVp-U,0,1
25,nm2b1U8mvhI,0,0
26,PqJuIal2-rY,0,1
27,Ep8y4v7-Dmw,0,0
28,EOqxDyiMAdE,0,0
29,whreCx_YLko,0,0
30,bChoL5qB6cM,0,3
31,iQTrf_eCfI8,0,1
32,4dvG5PXUGFk,0,0
33,V1kXk2yrBZw,0,0
34,VufrCCcsse4,0,0
35,WTIotEFCYno,0,0
36,LXZqE_soFzY,0,0
37,IYNyBvB8BjA,0,0
38,nWbQIORfcyg,1,3
39,CQ0OHoaS8eo,0,0
40,jBIf10lgWyU,0,1
41,Wn8Bf_r0vzo,1,3
42,T1yNpgVkMRM,1,2
43,TSnZ0dlh3NA,0,1
44,k2rrJDcOGsw,0,2
45,5RZwBqvMVMI,0,0
46,6uts4lH_tP4,0,1
47,GtiYyWQI8ZA,0,1
48,ev8g5jdDxEA,1,1
49,xRLaBFyc-UM,0,0
50,3Xf5_-WM6h0,0,0
51,NVVL3jc2nRE,0,0
52,RKjFYgSREG8,0,1
53,3USkdBSwdKs,0,0
54,71l1dxnNN28,2,2
55,Gz4K_CjxcCU,1,1
56,Fre5g65sj0w,1,2
57,xWiQT2LaD78,0,0
58,h7JatMD-B_w,0,1
59,VoI3U21K8_4,0,0
60,7E64xzjsgpo,0,0
61,YQ8H5GLPZsA,0,0
62,Q48o-VQ48og,0,0
63,4OmT_Nj1eng,0,0
64,xYP3p5ScKNo,1,2
65,EyAvSj1ZgXk,0,0
66,JzcylDGwRjk,0,0
67,lTAQ2HRErYw,0,3
68,PouihkhCpIc,0,1
69,uRrsTH3qC5c,0,0
70,NRlAWXJzNr8,0,2
71,3oIBsiZxNRw,0,0
72,QxXR0fxvTgM,0,0
73,yVZaPTMZUlM,0,2
74,51rqdW3u02M,0,0
75,2-aPVBmi0P8,0,0
76,bVSIaWBYtuw,0,1
77,FuFyo9Zd9e0,0,1
78,PFn5uO78D8U,0,2
79,yDJ5Fn06OqA,0,0
80,YUOXh6eFCrU,1,1
81,xiHcVRFBnA0,1,0
82,zcMrjedUJIQ,0,0
83,GvCv2Pz0o3I,0,0
84,IiTHAXv4_ts,1,2
85,zeqrf8ZVQSs,1,1
86,za5uuoQJmmw,1,2
87,b7l5KEKtcIg,1,1
88,ku1rHYu6K9Q,0,0
89,aigXaO8ewdg,1,2
90,i1quLORCZ2g,0,0
91,b_zqUaywNAE,0,1
92,LaSgcIsnXlU,0,1
93,wOpw9aFCfPU,0,1
94,JB5zC2nu4Cc,0,0
95,7222_XNBmeo,0,0
96,Gep1hN-yeFQ,0,0
97,Re9DQipGsbs,0,0
98,OYajy-IfgAo,0,0
99,NopDEaz6bL4,1,0
100,hCGgT7Gmzg0,0,0
101,kjpWYcNDgWc,0,0
102,Zsdv_X18wD8,0,1
103,EDS5lfRFARg,1,2
104,fDj2x3Cb8ts,0,0
105,xrUwPbeETXE,0,0
106,NzcTKGxwCCE,0,0
107,xWUC47m9uKY,1,3
108,eBsa_1cpN9s,0,1
109,B64TkkVRAwI,0,1
110,hlD_j3AtxGs,0,1
111,ZALxVE9hJ1I,0,0
112,lYeqxD1f5co,1,1
113,c0roInrdEMQ,0,2
114,O-cawByg2aA,0,2
115,557vBwreipo,0,1
116,uAmVmeDooQ4,0,0
117,--2v7MZOJGg,0,1
118,AkTyNRAp2qg,0,1
119,IvU3rkSBxBE,0,0
120,3XddwCSMo-8,0,1
121,c-Sg1HWcES0,1,0
122,9JE8GeZA78s,1,3
123,efsoTjgOIf4,0,0
124,gjJAXY_g-dA,0,0
125,zce6RScG2_k,0,0
126,Sx15ZqQPnHE,0,0
127,WOf2Kf0kNU8,0,0
128,O7YPymhfQec,0,0
129,HNEDBQYN0wE,0,0
130,acfjqWTwee0,0,0
131,VPM84_yfx5Q,0,0
132,jTb8NIxRRBc,0,0
133,Etp6km1JQi8,0,0
134,M8St8moqFq4,0,0
135,0KOT3mAtiNU,0,1
136,zHYDdT1pPIY,0,1
137,PqGc817jz3o,0,0
138,nK9Uf-7ijlk,0,0
139,1tz2bTKTWPg,0,0
140,7KnncF6Eomg,0,0
141,hhjOTt9EYyw,0,0
142,6x5FYrntm4Y,0,0
143,GbQcH5Zx9lE,0,0
144,#NAME?,0,0
145,dU-s0GWz2OQ,0,0
146,uhwzHfHcDOQ,0,0
147,68BytWd8uD8,0,0
148,w-I_lAfmRxM,0,1
149,t1KXDricV54,0,0
150,GMiAbQ5yUDA,0,1
151,8254mpJprjk,0,0
152,F2rEhJdN-mk,0,0
153,xPjQixqiRwQ,0,0
154,rQ6EwArDtHc,0,0
155,hUj3o0bsXWo,0,0
156,xihRwuWXmDc,0,0
157,YN5fu74-pcM,0,0
158,8nC0VnSRYgQ,0,0
159,OauYLIJB8Mk,0,0
160,ByHwtLjujlE,0,0
161,snWh8VxaKek,0,0
162,8waX7HzUxQQ,0,0
163,ibZmnFcLlaA,0,0
164,BWSrU0tv-5A,0,0
165,I6K-7v6DE9E,0,0
166,JmJAa90B_Qo,0,0
167,LcSnf-GBeKo,0,0
168,NK7GmnT_VQw,0,0
169,u6NBz5NK7Bg,0,0
170,V61XrzryoIM,0,0
171,ngElbkETkXo,0,0
172,Qchto7n_A3E,0,1
173,DsGHIDHxgF8,0,0
174,ma9HLOl1vuM,0,0
175,jtfbQ02Qryw,0,0
176,4fBXIcO0It4,0,2
177,GHaZYHfxyLs,0,0
178,XCy9TjzIees,0,0
179,9M2-OkV9vVc,1,0
180,jO-15XPPVpE,0,0
181,1CFYomoxc-I,0,0
182,u_MU518qhwM,0,0
