Video id,Number of speakers
7up731HX2uA,1
7E64xzjsgpo,1
ibZmnFcLlaA,1
JmJAa90B_Qo,1
hlD_j3AtxGs,1
rQ6EwArDtHc,1
QxXR0fxvTgM,1
xiHcVRFBnA0,1
u_MU518qhwM,1
eBsa_1cpN9s,1
-HyxOjUZ04Q,1
DsGHIDHxgF8,1
M8St8moqFq4,1
V61XrzryoIM,1
9ya8YNMJ27g,1
4w_n98E-j0I,1
ma9HLOl1vuM,1
pIMNpu7mGY8,1
nal Figures,1
Fre5g65sj0w,1
b7l5KEKtcIg,1
NK7GmnT_VQw,1
GbQcH5Zx9lE,1
6x5FYrntm4Y,1
3Xf5_-WM6h0,1
JzcylDGwRjk,1
Gz4K_CjxcCU,1
xihRwuWXmDc,1
SPh1KMjrb_A,1
GvCv2Pz0o3I,1
GMiAbQ5yUDA,1
Re9DQipGsbs,1
yDJ5Fn06OqA,1
iQTrf_eCfI8,1
8waX7HzUxQQ,1
NRlAWXJzNr8,1
fDj2x3Cb8ts,1
bVSIaWBYtuw,1
5RZwBqvMVMI,1
BWSrU0tv-5A,1
zcMrjedUJIQ,1
hhjOTt9EYyw,1
XCy9TjzIees,1
O7YPymhfQec,1
buSnKoducJc,1
1CFYomoxc-I,1
vPA0k8r3Tuc,1
4OmT_Nj1eng,1
GtiYyWQI8ZA,1
3USkdBSwdKs,1
X1Kr2cHWuP4,1
I6K-7v6DE9E,1
YQ8H5GLPZsA,1
BBhwOTtARQ8,1
Ep8y4v7-Dmw,1
GHaZYHfxyLs,1
aigXaO8ewdg,1
xrUwPbeETXE,1
ngElbkETkXo,1
ku1rHYu6K9Q,1
1tz2bTKTWPg,1
nm2b1U8mvhI,1
IvU3rkSBxBE,1
2-aPVBmi0P8,1
xWUC47m9uKY,1
muZmOiiukQE,1
w-I_lAfmRxM,1
uhwzHfHcDOQ,1
EyAvSj1ZgXk,1
0KOT3mAtiNU,1
lTAQ2HRErYw,1
CQ0OHoaS8eo,1
gjJAXY_g-dA,1
kjpWYcNDgWc,1
b_zqUaywNAE,1
Qchto7n_A3E,1
dU-s0GWz2OQ,1
LaSgcIsnXlU,1
Q48o-VQ48og,1
UoPYPDnkltQ,1
8nC0VnSRYgQ,1
bChoL5qB6cM,1
OauYLIJB8Mk,1
nK9Uf-7ijlk,1
WOf2Kf0kNU8,1
ZALxVE9hJ1I,1
TSnZ0dlh3NA,1
t1KXDricV54,1
yVZaPTMZUlM,1
9M2-OkV9vVc,1
7 CR helper,1
1F7LAJEVp-U,1
VoI3U21K8_4,1
3XddwCSMo-8,1
xPjQixqiRwQ,1
wOpw9aFCfPU,1
xRLaBFyc-UM,1
PqJuIal2-rY,1
FuFyo9Zd9e0,1
NzcTKGxwCCE,1
zeqrf8ZVQSs,1
51rqdW3u02M,1
u6NBz5NK7Bg,1
Sx15ZqQPnHE,1
Gep1hN-yeFQ,1
OYajy-IfgAo,1
uRrsTH3qC5c,1
c-Sg1HWcES0,1
71l1dxnNN28,1
KvBMuB4FeWE,1
jTb8NIxRRBc,1
snWh8VxaKek,1
YUOXh6eFCrU,1
EOqxDyiMAdE,1
EDS5lfRFARg,1
dBGeri4eFv4,1
hCGgT7Gmzg0,1
O-cawByg2aA,1
IiTHAXv4_ts,1
acfjqWTwee0,1
9JE8GeZA78s,1
68BytWd8uD8,1
F2rEhJdN-mk,1
NopDEaz6bL4,1
7222_XNBmeo,1